Model,Dataset,RMSE,MAE,R2,Latency_ms_per_sample,Recovery_Time,Forgetting_Score
CapyMOA ARF + Context Replay (Proposed),AEMO NSW,546.4667118385909,392.02693041060405,0.8790503315099566,2.6484120874719457,18.0,0.27436090277718844
CapyMOA ARF + FIFO Replay,AEMO NSW,553.3974926367063,392.2467465283593,0.8759628917693001,2.384020917131841,11.666666666666666,0.27664759396244415
CapyMOA ARF,AEMO NSW,711.5096471452824,515.3459021820157,0.7949598814193968,0.37398917845427865,19.0,0.2435121164542936
LSTM (Static),AEMO NSW,822.1887080250405,601.6930555778002,0.7262083026075423,88.46303278304656,5.333333333333333,0.2387355139654891
CapyMOA ARF + Context Replay (Proposed),NESO,1976.168261468623,1357.065270208813,0.9155829744218306,4.456371536127168,1.0,0.3158302049573502
CapyMOA ARF + FIFO Replay,NESO,2087.823635861492,1382.3854492813125,0.9057742017061531,5.401997601396917,1.0,0.37214018543089283
CapyMOA ARF,NESO,4004.1229043303324,3122.0010508176497,0.6534251812930791,2.443625278901734,1.0,0.36304444289497273
LSTM (Static),NESO,4121.893759145231,3208.3550283855734,0.6327381704672979,84.58140586970134,1.0,0.40945073387885417
CapyMOA ARF + Context Replay (Proposed),UCI Electricity,14824.812346180075,9599.288991536678,0.9698069236397038,3.058760400663943,2.3333333333333335,0.26910261747515013
CapyMOA ARF + FIFO Replay,UCI Electricity,15588.438275255272,9858.856359112084,0.9666163228877583,3.113203185137896,2.3333333333333335,0.2859512356871862
CapyMOA ARF,UCI Electricity,24227.496632092065,16903.944860130177,0.9193608317437525,1.0122929743360571,3.3333333333333335,0.19401295542847344
LSTM (Static),UCI Electricity,69924.14562579815,58507.19822504389,0.3282877120511236,83.77106751825842,2.0,0.068607657009933
