seed,model,RMSE,MAE,R2,Recovery_Time,Forgetting_Score
42,CapyMOA ARF,4004.1229043303324,3122.0010508176497,0.6534251812930791,1.0,0.36304444289497273
42,CapyMOA ARF + FIFO Replay,2087.823635861492,1382.3854492813125,0.9057742017061531,1.0,0.37214018543089283
42,CapyMOA ARF + Context Replay (Proposed),1976.168261468623,1357.065270208813,0.9155829744218306,1.0,0.3158302049573502
123,CapyMOA ARF,3936.3873721638215,3069.6991190630047,0.665051632282252,1.0,0.3463008639790976
123,CapyMOA ARF + FIFO Replay,1990.8810134508858,1364.3062087685876,0.9143213104115121,1.0,0.3520398521932307
123,CapyMOA ARF + Context Replay (Proposed),1971.7192616418179,1359.3400707381347,0.9159626471173788,1.0,0.343141691128051
456,CapyMOA ARF,3912.290891958089,3037.389517066492,0.6691398342409804,1.0,0.3740846711753468
456,CapyMOA ARF + FIFO Replay,2035.600821734781,1374.8442538821519,0.9104289962793563,1.0,0.3982668425399634
456,CapyMOA ARF + Context Replay (Proposed),2047.3012522098543,1407.6357795198546,0.909396346610917,1.0,0.3520420338818736
789,CapyMOA ARF,3919.6016019805497,3056.6232015415408,0.6679021539326295,1.6666666666666667,0.3418300013632431
789,CapyMOA ARF + FIFO Replay,1917.6772584607722,1352.354990055443,0.9205062029151675,1.0,0.29919118102125397
789,CapyMOA ARF + Context Replay (Proposed),1895.9419001335832,1324.734997000468,0.9222979897070752,1.0,0.32022735871924407
1011,CapyMOA ARF,3950.4934397903985,3092.607608428751,0.6626467520907587,1.0,0.37009496256752134
1011,CapyMOA ARF + FIFO Replay,2056.399925721216,1400.1866287692778,0.9085892305002374,1.0,0.36776088962244824
1011,CapyMOA ARF + Context Replay (Proposed),1949.476561637657,1350.5059564910684,0.9178479808654821,1.0,0.3338631990807875
2022,CapyMOA ARF,3957.514751406433,3055.313442329253,0.6614465135605672,1.0,0.3674548686290032
2022,CapyMOA ARF + FIFO Replay,2195.104010859718,1433.5713208266077,0.8958420526972722,1.6666666666666667,0.3939414210864253
2022,CapyMOA ARF + Context Replay (Proposed),2118.2940985176165,1423.5336569679387,0.9030038004254948,1.0,0.3864105164516705
3033,CapyMOA ARF,4044.980771724619,3137.586060850502,0.6463162319137192,1.0,0.3772849796856266
3033,CapyMOA ARF + FIFO Replay,1943.6011764128257,1362.9883917292427,0.9183424186235656,1.0,0.33029374111739573
3033,CapyMOA ARF + Context Replay (Proposed),2055.119303364479,1386.2302751626107,0.9087030471010198,1.0,0.32027146228979764
4044,CapyMOA ARF,4087.3753631451304,3173.871782052986,0.6388636106876866,1.6666666666666667,0.3683668385040239
4044,CapyMOA ARF + FIFO Replay,1981.5724604972966,1353.5895603283218,0.9151206350481007,1.0,0.33834328055828433
4044,CapyMOA ARF + Context Replay (Proposed),2108.1958090367166,1401.3374521916505,0.90392639279482,1.0,0.3722714649779177
5055,CapyMOA ARF,3884.956583296821,3042.236552524638,0.6737469764565115,1.0,0.3606582356405445
5055,CapyMOA ARF + FIFO Replay,2037.45780087817,1361.7939407876656,0.9102654992400276,1.0,0.373162637958739
5055,CapyMOA ARF + Context Replay (Proposed),2109.3401925232347,1426.26814660186,0.9038220619830237,1.0,0.3502806562660992
6066,CapyMOA ARF,3916.3628184553118,3065.760301125256,0.6684507549172352,1.0,0.3524424507129616
6066,CapyMOA ARF + FIFO Replay,2004.238374849855,1362.8297179030312,0.9131677704493104,1.0,0.3376958852031403
6066,CapyMOA ARF + Context Replay (Proposed),1982.3619432269065,1350.9418592865827,0.9150529876185708,1.0,0.3116960353434093
